,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,79,25,0.5192307642381657,0.09019947954015656,12.247191011235955,0.5935779816513761,5.136307597154933,12.247191011235955,647,1090,3.0232558139534884,3,7.624770642201835
1,321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,42,16,0.4482758543400715,0.11934156354044946,15.586206896551724,0.6150442477876106,6.480500457735734,15.586206896551724,278,452,3.05045871559633,4,7.663716814159292
2,2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,25,30,-0.09090908925619838,0.06674757273452965,9.576923076923077,0.5234270414993306,4.040140047368963,9.576923076923077,391,745,2.712078651685393,4,7.126174496644295
3,4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,37,30,0.10447761038093119,0.07282608687736294,13.666666666666666,0.5470383275261324,5.68548199767712,13.666666666666666,471,859,2.7711561382598333,7,7.346915017462165
4,432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,37,30,0.10447761038093119,0.07282608687736294,13.666666666666666,0.5470383275261324,5.68548199767712,13.666666666666666,471,859,2.7711561382598333,7,7.346915017462165
5,2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,47,15,0.5161290239334029,0.07259953153091389,11.159420289855072,0.5337662337662338,4.6772746094485225,11.159420289855072,411,769,2.799191374663073,6,7.374512353706112
6,3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,36,13,0.4693877455226991,0.05757931838122289,13.796296296296296,0.5906040268456376,5.754760129256773,13.796296296296296,440,743,2.915041782729805,2,7.550471063257066
7,3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,62,9,0.7464788627256499,0.061154177380573486,10.48,0.5477099236641222,4.41108396946565,10.48,574,1042,2.7635658914728682,5,7.438579654510557
8,4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,12,3,0.5999999600000027,0.035460992823969285,12.96551724137931,0.4946808510638298,5.384079236977256,12.96551724137931,186,376,2.7295081967213113,2,7.14095744680851
9,4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,25,49,-0.32432431994156324,0.09113300481387561,13.254545454545454,0.5775034293552812,5.532819553560294,13.254545454545454,421,726,2.8184357541899443,7,7.475206611570248
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,16,11,0.18518517832647488,0.07161803694531024,10.06060606060606,0.49698795180722893,4.223037604965316,10.06060606060606,165,330,2.778816199376947,5,7.290909090909091
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,34,17,0.33333332679738575,0.05279503100124738,13.058823529411764,0.49774774774774777,5.422628510863806,13.058823529411764,442,885,2.6768507638072854,8,6.911864406779661
12,6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,26,6,0.6249999804687506,0.06177606165680297,16.107142857142858,0.541019955654102,6.659265125118785,16.107142857142858,244,450,2.795294117647059,2,7.151111111111111
